zpid,is_FSBA,is_comingSoon,is_newHome,is_pending,is_forAuction,is_foreclosure,is_bankOwned,is_openHouse,is_FSBO,lastUpdated
442723690,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442721941,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
333708364,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
36552731,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2062948021,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
366575698,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442718015,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442718045,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
10465208,false,false,false,false,false,true,false,false,false,2024-11-20 23:54:07.345926 UTC
13056533,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
19968079,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2054525193,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
339423310,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
431922248,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
442723904,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
10207951,false,false,false,false,false,true,false,false,false,2024-11-20 23:54:07.345926 UTC
442721587,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2062398334,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
431922408,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
13426122,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2059152046,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442496409,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442703741,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442634532,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
337099739,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
442740546,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
440263350,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442634531,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
335654716,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2054462670,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
36505609,false,false,false,false,false,true,false,false,false,2024-11-20 23:54:07.345926 UTC
442707738,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
439208194,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
10439806,false,false,false,false,false,true,false,false,false,2024-11-20 23:54:07.345926 UTC
10550388,false,false,false,false,false,true,false,false,false,2024-11-20 23:54:07.345926 UTC
442717799,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
63812199,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
82617805,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
49883842,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
14555208,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
83350646,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
13294852,false,true,false,false,false,false,false,true,false,2024-11-29 05:32:39.75503 UTC
2053901296,false,false,true,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
2123626678,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
80160300,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
32195920,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
54500155,false,true,false,false,false,false,false,true,false,2024-11-29 05:32:39.75503 UTC
2084295409,false,false,true,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
353491431,false,false,true,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
344791639,false,false,true,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
440156081,false,false,true,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
125797170,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
14631597,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
14676302,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
